Id,Majstor,Kategorija,Lokacija,Ocjena
1,_John Smith_,_Ventilacioni sistemi_,Sarajevo,10
1,_Muhamed Šahinović_,_Ventilacioni sistemi_,Tuzla,10
1,_Adnan Kanurić_,_Vodoinstalater_,Bihać,10
1,_Belmin Dizdarević_,_Ventilacioni sistemi_,Blagaj,10
1,_Selmir Pidro_,_Vodoinstalater_,Bugojno,10
1,_Halid Šabanović_,_Monter grijnih instalacija_,Derventa,10
1,_Mirko Oremuš_,_Monter grijnih instalacija_,Foča,10
1,_Darko Lazić_,_Ventilacioni sistemi_,Goražde,10
1,_Dino Islamović_,_Vodoinstalater_,Jajce,10
1,_Numan Kurdić_,_Vodoinstalater_,Kakanj,10
1,_Amer Dupovac_,_Ventilacioni sistemi_,Livno,10
1,_Muharem Trako_,_Vodoinstalater_,Maglaj,10
1,_Haris Konjalić_,_Vodoinstalater_,Sarajevo,10
1,_Anel Hebibović_,_Monter grijnih instalacija_,Sarajevo,10
1,_Andrej Đokanović_,_Monter grijnih instalacija_,Sarajevo,10
1,_Tarik Ramić_,_Ventilacioni sistemi_,Tuzla,10
1,_Dal Varešanović_,_Monter grijnih instalacija_,Sarajevo,10
1,_Vicko Ševelj_,_Ventilacioni sistemi_,Bihać,10
1,_Kerim Palić_,_Ventilacioni sistemi_,Bihać,10
1,_Matthias Fanimo_,_Ventilacioni sistemi_,Zenica,10
1,_Armin Imamović_,_Vodoinstalater_,Zenica,10
1,_Rifet Kapić_,_Ventilacioni sistemi_,Zenica,10
1,_Josip Bender_,_Vodoinstalater_,Zenica,10
1,_Luka Malić_,_Ventilacioni sistemi_,Mostar,10
1,_Petar Bojo_,_Monter grijnih instalacija_,Mostar,10
1,_Omar Beća_,_Ventilacioni sistemi_,_Banja Luka_,10
1,_Faruk Duraković_,_Vodoinstalater_,Sarajevo,10
1,_Edo Vehabović_,_Monter grijnih instalacija_,_Banja Luka_,10
1,_Igor Belan_,_Vodoinstalater_,_Banja Luka_,10
1,_Goran Bojo_,_Vodoinstalater_,_Banja Luka_,10
1,_Cane Beća_,_Ventilacioni sistemi_,_Banja Luka_,10
1,_Zijad Duraković_,_Ventilacioni sistemi_,Sarajevo,10
1,_Denis Zvonić_,_Monter grijnih instalacija_,Mostar,10
1,_Mehmed Ćosić_,_Ventilacioni sistemi_,Sarajevo,10
1,_Tarik Isić_,_Vodoinstalater_,Bihać,10
1,_Slaviša Radović_,_Monter grijnih instalacija_,Bihać,10
1,_Samir Zeljković_,_Ventilacioni sistemi_,Zenica,10
1,_Melvin Osmić_,_Vodoinstalater_,Zenica,10
1,_Haris Ovčina_,_Ventilacioni sistemi_,Travnik,10
1,_Mersudin Ahmetović_,_Vodoinstalater_,Travnik,10
1,_Darko Bodul_,_Ventilacioni sistemi_,Mostar,10
1,_Krste Velkoski_,_Monter grijnih instalacija_,Mostar,10
1,_Boris Cmiljanić_,_Ventilacioni sistemi_,_Banja Luka_,10
1,_Dražen Bagarić_,_Vodoinstalater_,Sarajevo,10
1,_Kenan Dervišagić_,_Monter grijnih instalacija_,Travnik,10
