Id,Majstor,Kategorija,Lokacija,Ocjena
1,_John Smith_,Ključar,Sarajevo,10
1,_John Smith_,Tapetar,Sarajevo,10
1,_John Smith_,Metalostrugar,Sarajevo,10
1,_John Smith_,Stolar,Sarajevo,10
1,_John Smith_,Staklorezac,Sarajevo,10
1,_John Smith_,Grnčar,Sarajevo,10
1,_John Smith_,Kamenorezac,Sarajevo,10
1,_John Smith_,Mašin-bravar,Sarajevo,10
1,_John Smith_,Kovač,Sarajevo,10
1,_John Smith_,_Površinska obrada_,Sarajevo,10
1,_John Smith_,Livac,Sarajevo,10
1,_John Smith_,Uramljivač,Sarajevo,10
1,_John Smith_,Metaloglodač,Sarajevo,10
1,_John Smith_,Metalooštrač,Sarajevo,10
1,_John Smith_,Pečatorezac,Sarajevo,10
