Id,Majstor,Kategorija,Lokacija,Ocjena
1,_John Smith_,_Auto električar_,Sarajevo,10
1,_John Smith_,_Auto limar_,Sarajevo,10
1,_John Smith_,_Auto bravar_,Sarajevo,10
1,_John Smith_,_Auto mehaničar_,Sarajevo,10
1,_John Smith_,_Serviser autogas sistema_,Sarajevo,10
1,_John Smith_,_Auto grafičar_,Sarajevo,10
1,_John Smith_,_Auto tapetar_,Sarajevo,10
1,_John Smith_,_Auto perač_,Sarajevo,10
1,_John Smith_,Vulkanizer,Sarajevo,10
1,_John Smith_,_Šlep služba_,Sarajevo,10
1,_John Smith_,_Serviser trapa_,Sarajevo,10
1,_John Smith_,_Auto stakla_,Sarajevo,10
1,_John Smith_,_Auto plastičar_,Sarajevo,10
1,_John Smith_,_Serviser auspuha_,Sarajevo,10
1,_John Smith_,_Serviser motocikala_,Sarajevo,10
